Number,Category,Description,StartDate,StartTime,EndDate,EndTime
47,Mes,study database,2023-04-24,10:43:47,2023-04-24,11:41:23
48,Mes,study database,2023-04-24,13:40:08,2023-04-24,14:37:11
49,Mes,study database,2023-04-24,14:42:05,2023-04-24,15:10:54
50,Mes,study database,0,0,0,0
51,Tiam,Ui Checkable ComboBox,2023-04-25,08:45:27,2023-04-25,09:17:59
52,Tiam,Ui Checkable ComboBox,2023-04-25,09:24:20,2023-04-25,09:37:33
53,Tiam,Ui Checkable ComboBox,2023-04-25,09:43:57,2023-04-25,10:02:41
54,Tiam,Ui Checkable ComboBox,2023-04-25,10:19:57,2023-04-25,10:39:00
55,Tiam,TreeWidget,2023-04-25,10:52:07,2023-04-25,11:03:10
56,Translation,Behravesh Projects,2023-04-26,10:04:55,2023-04-26,10:38:37
57,Diagnosis,Software Installation for Dr.Rouhani,2023-04-26,10:39:08,2023-04-26,11:21:41
58,Translation,Behravesh Projects,2023-04-26,11:28:47,2023-04-26,11:53:18
59,Tiam,TreeWidgetItem click event,2023-04-26,13:59:41,2023-04-26,14:49:38
60,Meeting,Diagnosis Software,2023-04-26,16:00:26,2023-04-26,16:30:26
61,Tiam,TreeWidgetItem click event,2023-04-26,16:50:41,2023-04-26,16:54:04
62,Diag,Diagnosis Software,2023-04-26,16:54:50,2023-04-26,17:30:51
63,Tiam,TreeWidgetItem click event,2023-04-26,18:55:34,2023-04-26,19:14:30
64,Tiam,TreeWidgetItem click event,2023-04-26,19:37:49,2023-04-26,20:21:08
65,Prognosis,ui: Resizing sections,2023-04-27,20:01:40,2023-04-27,20:26:42
66,Prognosis,removing convergence parameters from report,2023-04-27,20:35:47,2023-04-27,21:26:00
67,Diag,making a csv file containing bearing fault frequencies,2023-04-28,08:36:16,2023-04-28,08:48:24
68,Diag,making a csv file containing bearing fault frequencies,2023-04-28,09:18:15,2023-04-28,09:23:14
69,Diag,making a csv file containing bearing fault frequencies,2023-04-28,09:26:43,2023-04-28,10:32:56
70,Diag,making a csv file containing bearing fault frequencies,2023-04-28,10:36:15,2023-04-28,11:06:48
71,Diag,making a csv file containing bearing fault frequencies,2023-04-28,12:03:26,2023-04-28,13:15:12
72,Diag,diagnosing software,2023-04-28,19:16:21,2023-04-28,19:40:20
73,Diag,diagnosing software,2023-04-28,20:44:05,2023-04-28,21:28:14
74,Prognosis,Finalize for Shazand,2023-04-29,17:37:05,2023-04-29,17:44:27
75,Diag,make dataset,2023-04-29,18:13:26,2023-04-29,19:29:19
76,Diagnosis,make loading pop up,2023-04-29,19:53:56,2023-04-29,20:55:19
77,Prognosis,Make exe and installer,2023-04-29,21:49:02,2023-04-29,21:59:29
78,Prognosis,Make exe and installer,2023-04-29,23:15:15,2023-04-29,23:55:27
79,Diagnosis,Make exe and installer,2023-04-30,12:15:21,2023-04-30,13:00:26
80,Diagnosis,Make exe and installer,2023-04-30,15:00:27,2023-04-30,15:34:21
81,Diagnosis,Make exe and installer,2023-04-30,18:05:29,2023-04-30,19:00:09
82,Diagnosis,Make exe and installer,2023-04-30,20:05:23,2023-04-30     ,22:30:23
83,Diagnosis,Make exe and installer,2023-05-01,07:03:45,2023-05-01,08:03:45
84,Mission,Shazand Refinery Software installation and fetching database,2023-04-30,06:00:00,2023-05-02,23:00:00
85,Mes,Data extraction from database,2023-05-03,11:30:06,2023-05-03,17:40:22
86,Mes,Visualizing data,2023-05-04,08:53:05,2023-05-04,10:26:25
87,Mes,Visualizing data,2023-05-04,16:38:23,2023-05-04,17:17:34
88,Mes,Visualizing data,0,0,0,0
89,Mes,Visualizing data,2023-05-05,18:06:10,2023-05-05,19:08:11
90,Mes,Visualizing data,2023-05-05,20:04:20,2023-05-05,20:35:27
91,Mes,Visualizing data,2023-05-06,08:50:22,2023-05-06,09:01:15
92,Mes,Visualizing data,2023-05-06,09:07:51,2023-05-06,09:30:35
93,Meeting,Shazand And Mahshahr Conclusion,2023-05-06,09:30:44,2023-05-06,10:40:28
94,Mes,Visualizing data,2023-05-06,11:22:48,2023-05-06,11:37:05
95,Mes,Visualizing data,2023-05-06,11:55:53,2023-05-06,12:18:03
96,Mes,Visualizing data,2023-05-06,13:37:17,2023-05-06,14:19:17
97,Mes,Visualizing data,2023-05-06,17:59:13,2023-05-06,18:04:47
98,Mes,Data extractin from database,2023-05-08,10:27:07,2023-05-08,11:57:54
99,Mes,Data extractin from database,2023-05-08,11:59:56,2023-05-08,12:19:05
100,Mes,Data extractin from database,2023-05-08,13:30:10,2023-05-08,13:46:12
101,Mes,Data extractin from database,2023-05-08,13:46:48,2023-05-08,13:47:35
102,Tiam,load from database meeting,2023-05-08,15:28:09,2023-05-08,16:46:49
103,Tiam,load from database,2023-05-08,17:05:44,2023-05-08,17:47:12
104,ReportGenerator,drawPicturesInExcel,2023-05-08,20:27:56,2023-05-08,21:13:32
105,Diag,Increasing the speed of loading data from database,2023-05-10,10:56:46,2023-05-10,14:30:02
106,Meeting,diagnosis problem with database,2023-05-09,15:23:45,2023-05-09,17:30:47
107,Mes,Data Visualization,2023-05-11,10:42:15,2023-05-11,10:53:18
108,Mes,Data Visualization,2023-05-11,11:01:47,2023-05-11,11:49:43
109,Mes,Data Visualization,2023-05-11,19:52:15,nan,nan
110,Mes,Data Visualization,2023-05-12,06:50:33,2023-05-12,08:45:49
111,Mes,Data Visualization,2023-05-12,08:58:56,2023-05-12,09:58:37
112,Mes,Data Visualization,2023-05-12,15:49:36,2023-05-12,17:37:54
113,Mes,Data Visualization,2023-05-12,19:44:40,2023-05-12,19:51:38
114,Mes,Data Visualization,2023-05-12,19:53:22,2023-05-12,20:03:26
115,Mes,Data Visualization,2023-05-12,20:12:17,2023-05-12,20:12:48
116,Mes,Data Visualization,2023-05-12,20:14:32,2023-05-12,20:49:51
117,Mes,Data Visualization,0,0,0,0
118,Mes,Data Visualization,2023-05-12,22:02:33,2023-05-12,22:27:07
119,Mes,Data Visualization,2023-05-12,22:28:09,2023-05-12,22:42:28
120,Mes,Data Visualization,2023-05-12,23:17:27,2023-05-12,23:27:49
121,Mes,Data Visualization,2023-05-13,08:03:59,2023-05-13,08:04:16
122,Mes,Data Visualization,2023-05-13,08:06:34,2023-05-13,08:07:10
123,Meeting,Diagnosis,2023-05-13,09:30:42,2023-05-13,10:47:44
124,Mes,Visualizing data,2023-05-14,21:12:57,2023-05-14,21:36:29
125,Mes,Visualizing data,2023-05-14,21:46:35,2023-05-14,22:09:01
126,Mes,Visualizing data,2023-05-14,22:34:12,2023-05-14,23:50:19
127,Mes,Visualizing data,2023-05-16,11:31:07,2023-05-16,11:48:13
128,Mes,Visualizing data,2023-05-16,14:01:03,2023-05-16,14:58:04
129,Mes,Visualizing data,2023-05-16,21:31:40,2023-05-16,23:39:36
130,Mes,Visualizing data,2023-05-16,23:55:58,2023-05-17,00:18:39
131,Mes,Visualizing data,2023-05-17,08:05:33,2023-05-17,09:46:35
132,Tiam,Create treeWidget,2023-05-17,12:04:43,2023-05-17,14:30:05
133,Tiam,Create treeWidget,2023-05-17,15:38:07,2023-05-17,16:00:21
134,Meeting,on Diagnosis,2023-05-17,16:18:55,2023-05-17,18:22:56
135,Tiam,Create treeWidget,2023-05-17,18:33:30,2023-05-17,18:40:57
136,Mes,Visualizing data,2023-05-18,16:35:41,2023-05-18,16:40:21
137,Mes,Visualizing data,2023-05-18,20:44:18,2023-05-18,21:23:26
138,Mes,Visualizing data,2023-05-18,21:40:09,2023-05-18,23:30:27
139,Mes,Visualizing data,2023-05-18,23:36:30,2023-05-19,00:38:55
140,Mes,Visualizing data,2023-05-19,09:36:28,2023-05-19,09:46:18
141,Mes,Visualizing data,2023-05-19,10:21:01,2023-05-19,10:22:19
142,Mes,Visualizing data,2023-05-19,10:22:57,2023-05-19,10:31:52
143,Mes,Visualizing data,2023-05-19,10:37:03,2023-05-19,11:10:41
144,Mes,Visualizing data,2023-05-19,11:26:42,2023-05-19,11:59:17
145,Mes,Visualizing data,2023-05-19,12:28:06,2023-05-19,13:01:09
146,Mes,Visualizing data,2023-05-19,15:06:51,2023-05-19,15:51:55
147,Mes,Visualizing data,2023-05-20,10:52:18,2023-05-20,12:01:23
148,Diag,Flowchart,2023-05-20,15:02:18,2023-05-20,16:51:09
149,Meeting,on Diagnosis and mes,2023-05-20,17:45:54,2023-05-20,18:29:57
150,Prognosis,Flowchart,2023-05-21,00:04:06,2023-05-21,01:04:15
151,ReportGenerator,drawPicturesInExcel,2023-05-22,19:08:47,2023-05-22,20:01:24
152,ReportGenerator,drawPicturesInExcel,0,0,0,0
153,Mes,Mission,2023-05-21,16:00:00,2023-05-23,22:00:00
